investor_uuid,investor_name,avg_likelihood
009a600d-8552-19a9-5fae-a659af9900f9,Trupti Nanavati,0.2
009b7251-f8c9-043d-a8cc-6f06a07957f4,Eugene Wong,0.14285714285714285
009bd1e4-f1a6-43ef-8e0d-68f335611c50,International Copper Association,0.0
009c400e-807b-d1f2-9621-9f85a7adbbd9,"Associated Partners, LP",0.0
009d2745-bd38-fe09-c5ed-ad27d0b818ed,Ajaipal S. Virdy,0.07142857142857142
009d5ed8-2545-40ef-a8d3-8e72f90dedc1,Equitrust,0.07142857142857142
009ee3f8-ddfa-9cd4-d472-299ef96a7c16,Sanjay Gupta,0.0
009f47a2-8e1c-0fd9-faac-3efdfc14d2d5,Irving Investors,0.095
009f92c2-2a87-29f1-5eb0-4a6c254ecbfa,IBBT iVentures fund,0.3333333333333333
009fe231-a9c8-4dcb-876e-a823786df875,Robin Batchelor,0.16666666666666666
00a12f54-133c-cc86-b660-5304049688b5,Sasfin Private Equity Fund Managers,0.0
00a4b584-d219-5d6a-a40c-92a1946ba37d,Jon Xu,0.0
00a638b3-c8b6-6eb8-3383-5d83605dc665,Timothy Creswick,0.16666666666666666
00a71e58-7aac-618f-30b5-536946714c1e,Jyotsna Bapat,0.25
00a72994-0c61-7896-10c5-def024b96660,NewTech Capital,0.13571428571428573
00a73202-194e-f0ef-28da-c46652354135,Mark Naples,0.5
00a75261-ba58-42a6-9938-2bf77dde4281,UniValues Associates,0.0
00a82e32-9162-b2f7-826d-c5421404dec1,Brisbane Angels,0.14097222222222222
00a993c9-f0da-b7e9-adc2-7ad6daa64369,Columbia Records,0.2
00a9ad0f-c9b7-cd9c-404a-b0a799ba537d,StartUp Health,0.07575757575757575
00a9c33f-3cd2-4308-87d4-b9fe993f46d9,Salman Ullah,0.5
00a9d54c-a214-d7e5-91ce-610b98c2f8c5,Chris Rouland,0.2888888888888889
00acc93b-1fe0-3869-0872-9671b633cc25,Szymon Klimczak,0.2857142857142857
00ad8c67-1379-4a95-9eab-9f0900805f93,Andreas Fischler,0.2
00ae3ff8-4ebd-a7c0-2aa5-6ad13a548ed3,The Jagen Group,0.2
00ae7d66-2fb3-4f48-a1ec-faaef03e4917,Andrew Yong,0.16666666666666666
00af0704-d938-4238-af6e-1399d3db9819,Yidexin Investment,0.0
00afeb2a-f382-0db6-8ba0-8dc6a810de0d,Inigo Juantegui,0.0
00b151d5-9da1-9f47-d840-b90e78fe1c7c,Jang Capital,0.0
00b16f7f-0eba-4b19-90bd-bb084b489e7d,Consensus Lab,0.0
00b19ad7-f85d-4962-d8e1-8e2877700794,Viventures Partners SA,0.5277777777777778
00b28e35-0452-9019-c2eb-3200f5ca42b2,East Japan Railway,0.5
00b30035-8fcb-648f-cc41-22c1c2cc0349,Kakao Pay,0.0
00b55ce3-4845-455d-a736-dd3fbd76758c,Jim D’Aquila,0.25
00b57462-ce39-cd2f-515b-23eb39a36a63,Elin Nordegren,0.2
00b6b111-bab7-f109-bc4b-331c2ed64442,Rod da Silva,0.2
00b7665b-5499-a6a9-02af-4f032f82be1b,Yuvraj Singh,0.0
00b80277-7e7a-fd46-e87c-bd5444424eca,Ocado Group,0.5
00b87637-09c0-8197-2fcc-58ec1d46dcc4,Globo Comunicação e Participações,0.3333333333333333
00b89169-5f75-4a46-bf96-6ad2cfe578e5,Jonas Cederholm,0.0
00ba40a7-3645-be16-66b0-ff844fa61128,Ingvar Kamprad,0.0
00ba6cbd-fa77-e530-555c-b3be9aab6551,Capitaleye Investments,0.14821428571428572
00bab688-3fc2-4f14-8fd4-01f90e03a1fe,iResearch,0.0
00bd17bb-7e09-3ee1-ab68-87fef3199de3,Hammer Capital Management,0.4444444444444444
00be5b33-67cf-088c-5441-6be8617a6009,Tonnerre Investments,0.3333333333333333
00be5daa-bd20-1bbe-d069-f977537dd503,Pivotal Asset Management,0.14583333333333334
00bebd99-f66c-f113-523c-f9986edb5dca,Celkon Mobiles,0.2
00bf0829-3aad-0d93-2d28-9249d8806cbd,Brand Journey Capital,0.0
00c0702a-3aad-dabb-6dbb-e6634fcf741f,Goldin Ventures,0.6666666666666666
00c08132-ac32-3885-248e-f0d4144d3a62,Anand Ranganathan,0.3333333333333333
00c45896-3267-22e4-3765-50cb0d9bad19,DNA Entertainment Networks,0.0
00c7a7f1-708a-42ea-8519-5f0a5cf3fca2,Xingtao Investment,0.3333333333333333
00cafaf9-f11d-4012-9ebf-35eb5121626d,Stefano Musso,0.14285714285714285
00cbb27b-26aa-480d-8af9-18bcda8b8f73,InnoVision Capital,0.05555555555555555
00cc8777-a658-4ba5-8dca-4572b4a65ff9,Peter Werth,0.0
00cea413-9c58-c015-3feb-1182c75e450d,White Unicorn Ventures,0.04047619047619048
00d01583-49bc-c1d3-7340-b711cac44098,Richard Gati,0.28571428571428575
00d18e77-8518-1f91-364f-8f1af7b61351,Conservice,0.16666666666666666
00d225f0-6837-4810-a66b-9d747e495e59,Beyond Ventures,0.0787037037037037
00d25251-4f00-4828-ac41-22964251ffe6,Genik,0.16666666666666666
00d26c89-5493-4308-8227-b2dd443ba96c,Indiana Spine Ventures,0.0
00d3295a-366d-7601-6d8b-07823985e179,Tyche Partners,0.09
00d387ed-1aaa-d820-d19d-5cafa31bf1d3,Nesta,0.2333333333333333
00d5c003-bf9c-bfa5-8285-f615e09cfd20,Bay Angels,0.08333333333333333
00d73a56-1eef-bfaa-70df-9852c45dfb1a,Hellerup Finans,0.14285714285714285
00d80769-97f6-1320-140a-246893e40c97,Doug Cifu,0.25
00d8483f-2e8a-b630-f141-2e1df601bda8,Andy Taylor,0.25
00d93cb8-abbe-7135-b944-09b734e1d2f1,Holmgrens Bil,0.3333333333333333
00da89d4-5a7d-ede8-f5d1-25ddcc03ba7d,Peter Handy,0.3333333333333333
00daca16-8311-454b-84e0-24a40d16be9c,Antler,0.1111111111111111
00db134a-6dde-41bc-95ad-3964117a773b,Vector Venture Capital,0.037037037037037035
00db5f46-2985-4d4d-a4f8-6bcd906e4155,Kyogin Lease & Capital,0.0625
00db9bb8-a7e9-4094-b9e1-80f67a598ac2,Bharath Chadha,0.0
00df8249-1f8b-b391-2399-a3dcc745795e,Gravitation,0.041666666666666664
00e05d45-3714-cefa-b610-cf40c94869f6,RevvX Hardware / IOT Accelerator,0.14814814814814814
00e073eb-b0ab-4367-828e-e466c31c6ad0,Gregoire Boutin,0.2
00e08cd9-39b9-df2c-3905-399941762898,Seristine Venture Private Limited,0.08333333333333333
